ssn,age,education,marital-status,relationship,sex,income
267-84-3980,63.0,Prof-school,Married-civ-spouse,,Male,>50K
918-21-2529,52.0,Some-college,Married-civ-spouse,Husband,,
886-64-0048,18.0,Bachelors,Married-civ-spouse,,Male,
590-01-8426,32.0,,Never-married,Own-child,,>50K
852-21-1301,59.0,,Married-civ-spouse,,Male,>50K
875-79-8524,44.0,,Married-civ-spouse,,,
091-55-4053,41.0,,Married-civ-spouse,,,>50K
335-53-4397,50.0,HS-grad,Married-civ-spouse,Husband,Male,
548-37-2235,18.0,HS-grad,Never-married,Own-child,Female,
696-62-1620,30.0,10th,Married-spouse-absent,Not-in-family,Female,<=50K
283-81-4496,49.0,Some-college,Never-married,,,
509-67-4446,69.0,,,Husband,Male,>50K
610-99-5085,50.0,,,,,
314-03-5626,,HS-grad,Married-civ-spouse,Husband,,
397-88-0834,27.0,,Never-married,Own-child,Female,<=50K
294-44-1031,,12th,,,Female,<=50K
174-66-2161,30.0,,Married-civ-spouse,Wife,Female,<=50K
627-94-8402,21.0,Some-college,Divorced,Not-in-family,Female,
768-98-0343,56.0,Bachelors,Never-married,,Male,
179-02-3341,,Some-college,Married-civ-spouse,Husband,,
740-69-4102,46.0,,Married-civ-spouse,Husband,Male,
045-08-5995,41.0,9th,Never-married,,Male,
850-52-2112,60.0,Bachelors,Never-married,Own-child,Male,>50K
819-13-3905,29.0,Assoc-voc,Married-civ-spouse,Wife,Female,
678-04-0539,63.0,,Married-civ-spouse,,Male,<=50K
684-15-2333,,Some-college,Married-civ-spouse,,,
454-63-7591,27.0,12th,,,,<=50K
075-82-9238,26.0,5th-6th,,Husband,Male,
350-12-2849,29.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
928-77-7640,39.0,9th,Divorced,,Female,<=50K
068-64-2506,22.0,HS-grad,,Own-child,Female,<=50K
881-38-8205,33.0,12th,,Not-in-family,Male,
179-48-4029,42.0,Assoc-acdm,Married-civ-spouse,,Male,>50K
717-78-2554,42.0,10th,Married-civ-spouse,,Male,
188-39-0663,55.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
080-86-6093,60.0,,Married-civ-spouse,,Male,
031-14-2506,65.0,HS-grad,Divorced,Not-in-family,Male,
233-10-8107,,Some-college,Never-married,Own-child,,
253-53-1940,27.0,11th,Separated,,Female,
301-38-2063,26.0,,Divorced,Unmarried,Female,
832-86-2407,49.0,Some-college,,,,<=50K
024-63-1449,,Bachelors,Married-civ-spouse,Husband,,>50K
496-65-2333,,Assoc-acdm,,,,
343-61-1793,30.0,,Never-married,Own-child,,<=50K
376-71-9901,33.0,Bachelors,Married-civ-spouse,,Male,
705-03-6854,45.0,,Married-civ-spouse,Husband,Male,
213-45-2088,52.0,HS-grad,,Not-in-family,,<=50K
817-62-8991,35.0,Prof-school,Married-civ-spouse,Wife,Female,<=50K
476-93-4888,48.0,11th,,,,<=50K
704-29-9753,20.0,Some-college,Never-married,Own-child,,<=50K
741-06-2652,25.0,5th-6th,Widowed,Other-relative,,
397-66-5847,,Bachelors,Divorced,Not-in-family,Male,>50K
711-27-1498,51.0,Bachelors,Married-civ-spouse,Wife,Female,
621-19-1645,23.0,Assoc-voc,Never-married,,Male,<=50K
480-28-2554,68.0,Assoc-acdm,Never-married,Not-in-family,Male,<=50K
868-94-9630,,12th,Never-married,Own-child,Female,<=50K
937-22-3586,,,Never-married,,Female,
773-74-0785,59.0,,Married-civ-spouse,Husband,Male,<=50K
942-10-6878,47.0,Masters,Divorced,Not-in-family,Male,>50K
413-48-2800,46.0,Bachelors,Never-married,Not-in-family,Male,<=50K
388-17-5675,34.0,,,Not-in-family,,<=50K
364-40-4176,25.0,12th,Never-married,Not-in-family,Female,<=50K
167-13-7591,42.0,HS-grad,Widowed,Not-in-family,,
013-26-7813,36.0,HS-grad,,Wife,Female,<=50K
689-77-2726,,,Married-civ-spouse,Wife,,<=50K
772-08-2308,22.0,,Divorced,Unmarried,,<=50K
285-19-6559,38.0,Some-college,Married-civ-spouse,Husband,,
607-98-5257,42.0,10th,Divorced,Not-in-family,,<=50K
395-14-7419,55.0,HS-grad,,,Female,
649-90-7861,67.0,HS-grad,Never-married,Not-in-family,Male,<=50K
117-13-7592,,,,Husband,,
567-07-6166,59.0,Bachelors,Married-civ-spouse,Husband,,>50K
164-55-7739,52.0,Some-college,Divorced,,Female,
557-09-4594,,HS-grad,,Husband,,
440-29-4839,29.0,HS-grad,,Husband,,
305-98-8943,53.0,Some-college,Divorced,Not-in-family,,<=50K
830-37-4692,59.0,,,Not-in-family,,<=50K
420-70-0245,51.0,HS-grad,,Husband,,<=50K
358-04-6682,22.0,Assoc-acdm,Divorced,,Male,<=50K
662-53-0711,30.0,11th,Never-married,,Male,<=50K
841-89-1891,40.0,5th-6th,Widowed,Unmarried,,<=50K
716-92-2603,,HS-grad,Married-civ-spouse,Husband,Male,<=50K
218-88-8206,,Some-college,Married-civ-spouse,,,<=50K
272-38-9434,59.0,Masters,Married-civ-spouse,Husband,Male,
950-15-3561,43.0,,Married-civ-spouse,Husband,Male,
442-16-8304,24.0,,,Husband,,<=50K
486-48-6486,50.0,,Married-civ-spouse,Husband,,>50K
734-21-3758,26.0,,Divorced,,,<=50K
562-22-3586,52.0,,Married-spouse-absent,Not-in-family,Male,
522-48-1571,62.0,5th-6th,Never-married,Not-in-family,,
708-26-1670,,11th,,Not-in-family,Male,<=50K
720-39-3119,53.0,,Married-civ-spouse,Husband,Male,
277-48-7714,27.0,Assoc-acdm,Never-married,Not-in-family,Male,<=50K
217-72-1130,23.0,11th,Married-civ-spouse,Husband,Male,
046-62-1621,42.0,HS-grad,Divorced,Unmarried,Male,<=50K
910-56-5109,89.0,10th,,Not-in-family,Female,<=50K
219-04-1768,,10th,Never-married,Own-child,Male,
481-20-3930,34.0,Assoc-voc,Never-married,,,<=50K
435-90-2947,67.0,Masters,Married-civ-spouse,Husband,,
955-06-7566,55.0,,Never-married,Not-in-family,,<=50K
475-15-3562,51.0,,Married-civ-spouse,Husband,Male,
790-47-9114,30.0,,Divorced,,,<=50K
797-35-8721,80.0,HS-grad,,,,
049-50-8599,63.0,,Never-married,Not-in-family,Male,
246-31-4496,42.0,,Married-civ-spouse,Husband,Male,<=50K
782-49-3856,23.0,,,Husband,Male,
233-35-3808,19.0,HS-grad,,Own-child,Male,
661-48-6485,42.0,HS-grad,Married-civ-spouse,Husband,Male,
456-08-1080,44.0,Masters,Married-civ-spouse,Wife,,<=50K
108-10-8108,,Masters,Married-civ-spouse,Husband,Male,
669-96-3144,44.0,Bachelors,,Not-in-family,,>50K
731-63-3905,59.0,,Widowed,Not-in-family,Male,
160-53-4397,57.0,10th,Married-civ-spouse,Husband,Male,
326-99-6314,23.0,Masters,Never-married,Own-child,Female,<=50K
407-21-7444,45.0,HS-grad,Never-married,,Female,
435-53-4397,20.0,Some-college,Married-civ-spouse,Husband,,<=50K
616-52-3340,30.0,Some-college,Divorced,,Male,
433-78-3783,40.0,,Separated,Not-in-family,Male,
128-25-5528,,,Married-civ-spouse,Wife,Female,
812-22-3586,22.0,,Divorced,Not-in-family,,
880-06-7566,60.0,9th,,Unmarried,Female,
445-48-5257,,,Married-civ-spouse,Husband,Male,>50K
455-15-9704,39.0,,,Not-in-family,Female,
832-18-6731,70.0,,Married-civ-spouse,Husband,Male,
710-16-5846,39.0,Some-college,Separated,Unmarried,,>50K
032-37-1007,,,Never-married,Own-child,Male,
928-96-1915,39.0,HS-grad,,Husband,,<=50K
251-28-9926,34.0,,Never-married,Not-in-family,Female,<=50K
333-20-0245,40.0,,,Not-in-family,,
841-06-2652,23.0,HS-grad,Never-married,,Male,<=50K
722-78-8697,,HS-grad,Separated,Unmarried,Male,
188-45-2088,31.0,Masters,Never-married,Not-in-family,Male,>50K
446-99-0171,50.0,HS-grad,,Unmarried,Female,<=50K
050-76-7813,52.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
241-79-9754,35.0,,Married-civ-spouse,Husband,Male,
159-61-3021,26.0,,Divorced,Unmarried,,
825-98-2800,42.0,,Married-civ-spouse,Husband,,
085-59-5823,48.0,,Married-civ-spouse,Husband,Male,
862-16-2161,63.0,,,Husband,,
168-79-6068,42.0,Some-college,Divorced,,Male,>50K
877-73-3414,44.0,HS-grad,Separated,Unmarried,Female,
106-14-2506,52.0,Some-college,Married-civ-spouse,,,<=50K
672-48-1571,37.0,,,Not-in-family,Male,>50K
673-40-2947,36.0,,Married-civ-spouse,Husband,Male,
651-35-1350,,7th-8th,Married-civ-spouse,Husband,,
270-23-9557,51.0,Some-college,Married-civ-spouse,Husband,Male,
841-55-4053,64.0,Assoc-voc,Divorced,Not-in-family,Male,<=50K
968-79-6067,24.0,,,Not-in-family,Female,
731-72-6043,35.0,,Married-civ-spouse,Husband,Male,
625-03-0711,38.0,Masters,Married-civ-spouse,,Male,
738-66-7075,,,Married-civ-spouse,,,<=50K
000-98-2800,39.0,,,,Male,
524-78-5011,35.0,Some-college,Never-married,Not-in-family,,<=50K
619-50-2456,57.0,10th,Married-civ-spouse,,Male,
065-69-4103,27.0,HS-grad,Married-civ-spouse,Husband,,<=50K
119-50-2456,31.0,,Married-civ-spouse,Husband,Male,
255-71-2530,20.0,,Never-married,Not-in-family,Male,
185-50-3685,36.0,HS-grad,,,Female,
592-84-3979,42.0,,,Not-in-family,Male,<=50K
685-19-6559,28.0,,Divorced,Unmarried,Female,<=50K
295-66-9532,25.0,Some-college,Separated,Unmarried,,
593-67-3218,88.0,HS-grad,Never-married,,,>50K
616-67-6903,,HS-grad,,Wife,,
766-18-5502,43.0,,Separated,,,
426-35-1350,17.0,HS-grad,Never-married,,,
210-01-2284,33.0,Some-college,Divorced,Not-in-family,Male,
812-89-9262,20.0,Some-college,Never-married,,,<=50K
488-69-7788,,HS-grad,,,Female,<=50K
029-33-0466,21.0,HS-grad,Never-married,Own-child,Female,
277-88-6977,42.0,HS-grad,,Husband,Male,<=50K
853-37-8377,32.0,,Never-married,Not-in-family,Male,>50K
937-99-1399,51.0,,,Not-in-family,Female,<=50K
974-81-5723,30.0,,Never-married,Own-child,Male,<=50K
548-71-0073,56.0,HS-grad,,Unmarried,Female,<=50K
809-88-9434,24.0,,Married-civ-spouse,,Female,
368-39-6805,35.0,,Divorced,Not-in-family,Male,<=50K
163-29-8525,,HS-grad,Married-civ-spouse,Husband,Male,<=50K
281-57-2481,26.0,,Separated,Not-in-family,,
233-87-5921,53.0,9th,Separated,Unmarried,,
468-36-6092,39.0,9th,Never-married,Not-in-family,,<=50K
919-68-6731,23.0,HS-grad,Divorced,Own-child,Female,<=50K
641-73-8328,41.0,HS-grad,Divorced,,,
914-95-7001,43.0,,Married-civ-spouse,Husband,,
289-28-1326,39.0,Some-college,Never-married,,Male,<=50K
409-67-4446,22.0,Some-college,Never-married,Own-child,Female,
719-59-4593,29.0,,Never-married,Not-in-family,Female,
254-20-7616,39.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
824-69-2873,66.0,,Divorced,Not-in-family,,
170-57-7395,29.0,,Married-civ-spouse,Husband,Male,
803-96-1915,22.0,Some-college,Never-married,Unmarried,,<=50K
084-88-9434,29.0,HS-grad,Never-married,,,<=50K
319-56-3881,36.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
