ssn,age,education,marital-status,relationship,sex,income
267-84-3980,52.0,7th-8th,Married-civ-spouse,Husband,Male,
918-21-2529,30.0,Bachelors,Married-civ-spouse,Husband,,
886-64-0048,47.0,Some-college,Married-civ-spouse,,,
590-01-8426,32.0,Prof-school,,Wife,Male,
852-21-1301,37.0,,Divorced,Unmarried,Male,
875-79-8524,33.0,Bachelors,Divorced,Not-in-family,,<=50K
091-55-4053,49.0,HS-grad,Separated,Own-child,Male,
335-53-4397,47.0,,Married-civ-spouse,,,
548-37-2235,51.0,Some-college,,Husband,,
696-62-1620,44.0,12th,Married-civ-spouse,Husband,Male,
283-81-4496,,Some-college,Never-married,Unmarried,,
509-67-4446,,,Married-civ-spouse,Husband,Male,
610-99-5085,20.0,HS-grad,Never-married,,,<=50K
314-03-5626,40.0,,Married-civ-spouse,Husband,,<=50K
397-88-0834,58.0,HS-grad,Divorced,Not-in-family,Female,<=50K
294-44-1031,23.0,,,Other-relative,Female,<=50K
174-66-2161,37.0,Bachelors,Divorced,Unmarried,Female,<=50K
627-94-8402,21.0,Prof-school,Never-married,,,
768-98-0343,23.0,Assoc-acdm,Never-married,Other-relative,,<=50K
179-02-3341,24.0,,Never-married,Not-in-family,,
740-69-4102,45.0,HS-grad,Married-civ-spouse,Husband,,>50K
045-08-5995,60.0,Bachelors,Never-married,Not-in-family,,<=50K
850-52-2112,43.0,HS-grad,Divorced,Unmarried,Male,
819-13-3905,52.0,,Married-civ-spouse,Husband,,>50K
678-04-0539,23.0,Bachelors,,Husband,Female,<=50K
684-15-2333,26.0,HS-grad,Never-married,,,<=50K
454-63-7591,51.0,,Divorced,,Female,<=50K
075-82-9238,42.0,HS-grad,Separated,Unmarried,,
350-12-2849,51.0,,Married-civ-spouse,,Male,<=50K
928-77-7640,33.0,,Married-civ-spouse,Husband,Male,>50K
068-64-2506,49.0,,Married-civ-spouse,Wife,Male,
881-38-8205,24.0,Assoc-acdm,Never-married,Own-child,,
179-48-4029,,Some-college,Married-civ-spouse,Other-relative,Male,<=50K
717-78-2554,40.0,,Never-married,Not-in-family,,
188-39-0663,53.0,Bachelors,Divorced,Unmarried,Female,
080-86-6093,,HS-grad,Never-married,,,
031-14-2506,,,Never-married,Not-in-family,,<=50K
233-10-8107,,Some-college,Never-married,Own-child,,<=50K
